state,effective_date,old_minimum_wage,new_minimum_wage,nominal_change,pct_change,policy_year,source_url,source_name,verified,notes
CO,2015-01-01,8.0,8.23,0.23000000000000043,0.028750000000000053,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2016-01-01,8.23,8.31,0.08000000000000007,0.009720534629404625,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2017-01-01,8.31,9.3,0.9900000000000002,0.11913357400722023,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2018-01-01,9.3,10.2,0.8999999999999986,0.09677419354838694,2018,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2019-01-01,10.2,11.1,0.9000000000000004,0.0882352941176471,2019,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2020-01-01,11.1,12.0,0.9000000000000004,0.08108108108108111,2020,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2021-01-01,12.0,12.32,0.3200000000000003,0.02666666666666669,2021,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2022-01-01,12.32,12.56,0.2400000000000002,0.019480519480519497,2022,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CO,2023-01-01,12.56,13.65,1.0899999999999999,0.08678343949044584,2023,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCO,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2015-01-01,8.7,9.15,0.45000000000000107,0.05172413793103461,2015,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2016-01-01,9.15,9.6,0.4499999999999993,0.04918032786885238,2016,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
CT,2017-01-01,9.6,10.1,0.5,0.052083333333333336,2017,https://fred.stlouisfed.org/graph/fredgraph.csv?id=STTMINWGCT,"FRED state minimum wage series, sourced from US Department of Labor",True,Detected increase in FRED state minimum wage time series.
