treated,year,mean_outcome,n_county_pairs,n_counties
0,2015,9.840245174089308,5,4
0,2016,9.866429059766373,5,4
0,2017,9.885374513186246,5,4
0,2018,9.913740679097968,5,4
0,2019,9.932108349638696,5,4
0,2020,9.636461776971819,5,4
0,2021,9.772417493872195,5,4
0,2022,9.887641311133013,5,4
0,2023,9.927462398826252,5,4
1,2015,9.034118898338999,5,5
1,2016,9.078815144980556,5,5
1,2017,9.099865761565827,5,5
1,2018,9.106564881807966,5,5
1,2019,9.101899107769233,5,5
1,2020,8.823814518191782,5,5
1,2021,8.946061073471759,5,5
1,2022,9.0634041738723,5,5
1,2023,9.094963782674784,5,5
