outcome,term,specification,estimate,std_error,p_value,nobs,covariance,status
log_employment,treated:post,lagged_regional_cycle_controls,-0.0911685934066687,,,20634,clustered_state,ok
log_establishments,treated:post,lagged_regional_cycle_controls,-0.004179319169941862,1.8540648406365665,0.9982014591165644,20613,clustered_state,ok
log_emp_per_establishment,treated:post,lagged_regional_cycle_controls,-0.3485724402321756,4.455976649594379,0.937648421249689,20613,clustered_state,ok
log_avg_annual_pay,treated:post,lagged_regional_cycle_controls,0.020668875266682686,2.012495807410607,0.9918056542059949,17150,clustered_state,ok
