term,relative_year,estimate,std_error,p_value,ci_low,ci_high
event_m4,-4,0.04076919920962656,1.3836945520464983,0.9764945170909537,-2.67127212280151,2.752810521220763
event_m3,-3,0.0699821983691455,,,,
event_m2,-2,0.08908144655911578,,,,
event_p0,0,0.05750698173421681,,,,
event_p1,1,-0.10162665185869296,1.2933708908553248,0.9373706521751602,-2.636633597935129,2.4333802942177436
event_p2,2,-0.08348125722840156,,,,
event_p3,3,-0.016026222340888633,0.4348340052701582,0.9705998590334985,-0.8683008726703987,0.8362484279886213
