outcome,heterogeneity_dimension,base_treated_post,interaction_estimate,interaction_std_error,interaction_p_value,nobs
log_employment,large_establishment_county,-0.022683096141722862,-0.07570871710669223,,,23219
log_establishments,large_establishment_county,-0.03466877408952054,0.053276814608753706,0.15338828551119094,0.7283411556812105,23196
log_emp_per_establishment,large_establishment_county,-0.09408775523553037,-0.22595160173894235,9.449903679093879,0.9809240259154598,23196
log_avg_annual_pay,large_establishment_county,0.01314497192734441,0.010632453448478407,4.053343089651985,0.9979070459782221,19323
log_employment,high_pregrowth_county,-0.11070625590927165,0.07939952410010376,0.5178524338894362,0.8781422916612784,23219
log_establishments,high_pregrowth_county,-0.05387430253339398,0.08467585658881582,,,23196
log_emp_per_establishment,high_pregrowth_county,-0.1115797755751588,-0.18803816488898406,8.876629614575291,0.9830992691032474,23196
log_avg_annual_pay,high_pregrowth_county,0.028580063599899046,-0.013899059857671195,46.662673866914304,0.9997623401278342,19323
