outcome,window,weighted,estimate,std_error,p_value,nobs,status
log_employment,full,False,-0.06487599213503117,2.376966810402787,0.9782255578052617,23219,ok
log_employment,full,True,0.0036488951976008485,0.039163800559727804,0.9257684281273495,23219,ok
log_employment,drop_2020,False,,,,20643,failed: SVD did not converge
log_employment,drop_2020,True,0.006523219204825041,0.040493379732680745,0.8720197803102017,20643,ok
log_employment,balanced_2016_2022,False,-0.032675025396954806,,,18053,ok
log_employment,balanced_2016_2022,True,-0.010342990768655268,0.041406592480568924,0.8027490431403,18053,ok
log_establishments,full,False,-0.0049371388288093065,,,23196,ok
log_establishments,full,True,-0.0036560910686561643,0.030351928741340222,0.9041214331853119,23196,ok
log_establishments,drop_2020,False,-0.00622311668864407,,,20625,ok
log_establishments,drop_2020,True,-0.0034721841686874526,0.033809398947148794,0.9182020385580042,20625,ok
log_establishments,balanced_2016_2022,False,0.0002946311908511301,,,18032,ok
log_establishments,balanced_2016_2022,True,-0.004686274791361855,0.022123644537184444,0.8322458988567567,18032,ok
log_emp_per_establishment,full,False,-0.2201693098196652,22.07480923370453,0.9920422061746446,23196,ok
log_emp_per_establishment,full,True,0.007304986266251978,0.015063872864375816,0.6277230625747776,23196,ok
log_emp_per_establishment,drop_2020,False,-0.25215798029935166,,,20625,ok
log_emp_per_establishment,drop_2020,True,0.009995403373499728,0.015508035306950399,0.5192314184028841,20625,ok
log_emp_per_establishment,balanced_2016_2022,False,-0.09724988757021899,,,18032,ok
log_emp_per_establishment,balanced_2016_2022,True,-0.005656715977301469,0.022891963038166565,0.8048270504463403,18032,ok
log_avg_annual_pay,full,False,0.01992976085608188,2.020373990734219,0.9921294816326021,19323,ok
log_avg_annual_pay,full,True,-0.004903340799208071,0.01218413163943199,0.6873627213830095,19323,ok
log_avg_annual_pay,drop_2020,False,0.02523683074903183,16.752796853594884,0.9987980472646826,17173,ok
log_avg_annual_pay,drop_2020,True,0.000979727039092625,0.010944971700408864,0.9286735119154773,17173,ok
log_avg_annual_pay,balanced_2016_2022,False,,,,14991,failed: SVD did not converge
log_avg_annual_pay,balanced_2016_2022,True,-0.013218509956436917,0.014152366598658475,0.35029661959682923,14991,ok
